902 2753 591 170 395 1554 1554 1554 1554 1554
755 708 2140 1710 2035 755 708 2140 1710 2035
1618 2635 1900 2842 483 1618 2635 1900 2842 483
166 1497 629 794 1010 166 1497 629 794 1010
1371 2040 1793 1741 2127 1371 2040 1793 1741 2127
1416 2800 279 1987 2751 1416 2800 279 1987 2751
2376 159 2502 1976 2131 2376 159 2502 1976 2131
1083 379 1144 2642 723 1083 379 1144 2642 723
1598 2245 100 509 1533 1598 2245 100 509 1533
498 2516 2387 978 1426 498 2516 2387 978 1426
1825 2126 1886 1967 2742 1825 2126 1886 1967 2742
2576 2640 767 827 2476 2576 2640 767 827 2476
819 2164 15 735 1207 819 2164 15 735 1207
1163 472 1993 859 302 1163 472 1993 859 302
2224 1407 2670 874 809 2224 1407 2670 874 809
1951 1196 2122 2479 2014 1951 1196 2122 2479 2014
597 1358 2534 560 1659 597 1358 2534 560 1659
1042 1292 1252 2222 333 1042 1292 1252 2222 333
1047 78 607 2522 833 1047 78 607 2522 833
2010 1904 1377 11 2027 2010 1904 1377 11 2027
1560 1137 2792 1226 779 1560 1137 2792 1226 779
2068 77 1448 481 1942 2068 77 1448 481 1942
1566 847 2243 240 2156 1566 847 2243 240 2156
2178 2 2843 1443 2300 2178 2 2843 1443 2300
1221 1876 2077 568 2198 1221 1876 2077 568 2198
2921 2403 2711 564 2773 2921 2403 2711 564 2773
2237 2193 1168 1888 2124 2237 2193 1168 1888 2124
2561 1495 1591 2410 2499 2561 1495 1591 2410 2499
1594 1799 957 569 1381 1594 1799 957 569 1381
806 1155 1802 325 1054 806 1155 1802 325 1054
1417 1249 2788 1732 1721 1417 1249 2788 1732 1721
2692 1841 1805 468 874 2692 1841 1805 468 874
1011 1391 1045 1275 588 1011 1391 1045 1275 588
2765 1621 220 2252 2807 2765 1621 220 2252 2807
2014 1477 398 545 1767 2014 1477 398 545 1767
2575 2393 803 2846 795 2575 2393 803 2846 795
523 2897 496 1184 2033 523 2897 496 1184 2033
1821 39 2179 331 1345 1821 39 2179 331 1345
2862 1376 1766 914 2471 2862 1376 1766 914 2471
377 106 1145 2634 1718 377 106 1145 2634 1718
956 2929 2101 2178 589 956 2929 2101 2178 589
2500 2759 1663 639 508 2500 2759 1663 639 508
2246 779 2301 1898 1823 2246 779 2301 1898 1823
2389 137 680 2830 730 2389 137 680 2830 730
1742 2776 856 2750 2060 1742 2776 856 2750 2060
1418 119 1317 2010 567 1418 119 1317 2010 567
2251 1640 473 572 1983 2251 1640 473 572 1983
2550 1411 2007 692 2498 2550 1411 2007 692 2498
599 2351 183 1082 725 599 2351 183 1082 725
885 1517 867 2885 2163 885 1517 867 2885 2163
952 2411 329 1291 2419 952 2411 329 1291 2419
572 207 1117 2211 973 572 207 1117 2211 973
679 2146 527 1529 1346 679 2146 527 1529 1346
791 971 746 2648 547 791 971 746 2648 547
1701 1785 2314 1251 2777 1701 1785 2314 1251 2777
