"y","x1","x2"
"1",0,0,0
"2",0.360520077273411,0.0153801653987204,0.254215241013334
"3",0.751900101615369,0.002934190425399,0.557666865237532
"4",0.144630747363879,0.866519237196915,-0.709160777286634
"5",-0.207433819492866,-0.246806677511025,0.0780795266740659
"6",-0.207433819492866,-0.246806677511025,0.0780795266740659
"7",-0.31450168483611,0.0499855375458415,-0.281542532190478
"8",-0.112813963445085,0.0524075794772223,-0.133496903470018
"9",-0.207433819492866,-0.246806677511025,0.0780795266740659
"10",-0.207433819492866,-0.246806677511025,0.0780795266740659
